app,workload_label,num_cold,num_warm,cold_start_frequency
vprocessing_benchmark,steady.csv,1015,20889,4.859016707
todo_api,spikes.csv,11,18430,0.059685296
todo_api,jump.csv,8,21197,0.03774119
todo_api,steady.csv,7,31010,0.022573363
todo_api,bursty.csv,5,18895,0.026462027
thumbnail_generator,jump.csv,205,16994,1.206308109
thumbnail_generator,spikes.csv,111,22262,0.498607493
thumbnail_generator,bursty.csv,78,14521,0.537153089
thumbnail_generator,steady.csv,76,31678,0.239914136
realworld_backend,bursty.csv,28,17696,0.158227848
realworld_backend,jump.csv,28,23215,0.120611673
realworld_backend,steady.csv,27,29432,0.091736885
realworld_backend,spikes.csv,25,20532,0.121761153
mtraining_benchmark,spikes.csv,7,947,0.739176346
mtraining_benchmark,steady.csv,7,804,0.870646766
mtraining_benchmark,jump.csv,6,812,0.738916256
mtraining_benchmark,bursty.csv,4,536,0.746268657
matrix_multiplication,jump.csv,194,17692,1.096540809
matrix_multiplication,spikes.csv,163,13862,1.175876497
matrix_multiplication,steady.csv,57,31644,0.180128934
matrix_multiplication,bursty.csv,36,19025,0.189224704
image_processing,spikes.csv,143,22141,0.645860621
image_processing,steady.csv,83,30840,0.269130999
image_processing,bursty.csv,68,18680,0.364025696
image_processing,jump.csv,53,24453,0.216742322
hello_retail,bursty.csv,12,18987,0.063201138
hello_retail,steady.csv,12,31231,0.038423361
hello_retail,jump.csv,10,24698,0.040489108
hello_retail,spikes.csv,10,22093,0.045263206
event_processing,jump.csv,9,47569,0.018919885
event_processing,spikes.csv,9,42587,0.02113321
event_processing,steady.csv,9,59372,0.015158661
event_processing,bursty.csv,7,36652,0.019098549